id,instance,goal,result,duration,correct_result,verdict,steps_obtained
279,exp_acyclic_depvary_step2_batch_yyy08.pl,z2,no,0.06,no,corr,0
280,exp_acyclic_depvary_step2_batch_yyy08.pl,b5,no,0.03,no,corr,0
281,exp_acyclic_depvary_step2_batch_yyy09.pl,u5,no,0.08,no,corr,0
282,exp_acyclic_depvary_step2_batch_yyy09.pl,t4,no,0.05,no,corr,0
283,exp_acyclic_depvary_step2_batch_yyy09.pl,b2,no,0.83,no,corr,11
284,exp_acyclic_depvary_step2_batch_yyy09.pl,b3,no,0.04,no,corr,0
285,exp_acyclic_depvary_step2_batch_yyy09.pl,p4,no,0.06,no,corr,0
286,exp_acyclic_depvary_step2_batch_yyy09.pl,b4,no,0.06,no,corr,0
287,exp_acyclic_depvary_step2_batch_yyy09.pl,z1,no,0.06,no,corr,0
288,exp_acyclic_depvary_step2_batch_yyy09.pl,w4,no,0.06,no,corr,0
289,exp_acyclic_depvary_step2_batch_yyy09.pl,d1,yes,0.06,yes,corr,0
290,exp_acyclic_depvary_step2_batch_yyy09.pl,x4,no,0.06,no,corr,0
291,exp_acyclic_depvary_step2_batch_yyy10.pl,u5,no,0.07,no,corr,0
292,exp_acyclic_depvary_step2_batch_yyy10.pl,d4,no,0.06,no,corr,0
293,exp_acyclic_depvary_step2_batch_yyy10.pl,t3,no,0.05,no,corr,0
294,exp_acyclic_depvary_step2_batch_yyy10.pl,v4,no,0.06,no,corr,0
295,exp_acyclic_depvary_step2_batch_yyy10.pl,f4,no,0.06,no,corr,0
296,exp_acyclic_depvary_step2_batch_yyy10.pl,r2,yes,0.06,yes,corr,1
297,exp_acyclic_depvary_step2_batch_yyy10.pl,v2,no,0.05,no,corr,0
298,exp_acyclic_depvary_step2_batch_yyy10.pl,e1,no,2.39,no,corr,13
299,exp_acyclic_depvary_step2_batch_yyy10.pl,s1,yes,0.07,yes,corr,1
300,exp_acyclic_depvary_step2_batch_yyy10.pl,d2,no,0.06,no,corr,0
301,exp_acyclic_depvary_step3_batch_yyy01.pl,u1,yes,0.12,yes,corr,1
302,exp_acyclic_depvary_step3_batch_yyy01.pl,c2,no,0.55,no,corr,8
303,exp_acyclic_depvary_step3_batch_yyy01.pl,a4,no,0.06,no,corr,0
304,exp_acyclic_depvary_step3_batch_yyy01.pl,y1,yes,0.89,yes,corr,11
305,exp_acyclic_depvary_step3_batch_yyy01.pl,q1,yes,0.09,yes,corr,2
306,exp_acyclic_depvary_step3_batch_yyy01.pl,a2,no,0.7,no,corr,9
307,exp_acyclic_depvary_step3_batch_yyy01.pl,s5,no,0.06,no,corr,0
308,exp_acyclic_depvary_step3_batch_yyy01.pl,b4,no,0.07,no,corr,0
309,exp_acyclic_depvary_step3_batch_yyy01.pl,z3,no,0.04,no,corr,0
