id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
199,exp_acyclic_depvary_step1_batch_yyy10.pl,q3,no,0.29,no,corr,0.0,None,None,None,yes
200,exp_acyclic_depvary_step1_batch_yyy10.pl,y2,no,0.35,no,corr,0.0,None,None,None,yes
201,exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,0.23,no,corr,2.0,None,None,None,no
202,exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0.41,yes,corr,0.0,None,None,None,no
203,exp_acyclic_depvary_step2_batch_yyy01.pl,e5,no,0.24,no,corr,0.0,None,None,None,yes
204,exp_acyclic_depvary_step2_batch_yyy01.pl,c5,no,0.33,no,corr,0.0,None,None,None,yes
205,exp_acyclic_depvary_step2_batch_yyy01.pl,z4,no,0.26,no,corr,0.0,None,None,None,yes
206,exp_acyclic_depvary_step2_batch_yyy01.pl,c1,no,0.37,no,corr,1.0,None,None,None,no
207,exp_acyclic_depvary_step2_batch_yyy01.pl,p1,no,0.39,no,corr,2.0,None,None,None,no
208,exp_acyclic_depvary_step2_batch_yyy01.pl,y5,no,0.29,no,corr,0.0,None,None,None,yes
209,exp_acyclic_depvary_step2_batch_yyy01.pl,a6,no,0.19,no,corr,0.0,None,None,None,yes
210,exp_acyclic_depvary_step2_batch_yyy01.pl,s4,no,0.23,no,corr,0.0,None,None,None,yes
211,exp_acyclic_depvary_step2_batch_yyy02.pl,z5,no,0.3,no,corr,0.0,None,None,None,yes
212,exp_acyclic_depvary_step2_batch_yyy02.pl,e5,no,0.49,no,corr,0.0,None,None,None,yes
213,exp_acyclic_depvary_step2_batch_yyy02.pl,s5,no,0.21,no,corr,0.0,None,None,None,yes
214,exp_acyclic_depvary_step2_batch_yyy02.pl,p2,yes,0.21,yes,corr,1.0,None,None,None,no
215,exp_acyclic_depvary_step2_batch_yyy02.pl,a1,no,0.31,no,corr,1.0,None,None,None,no
216,exp_acyclic_depvary_step2_batch_yyy02.pl,q2,no,0.24,no,corr,3.0,None,None,None,no
217,exp_acyclic_depvary_step2_batch_yyy02.pl,d3,no,0.3,no,corr,0.0,None,None,None,yes
218,exp_acyclic_depvary_step2_batch_yyy02.pl,u4,no,0.57,no,corr,0.0,None,None,None,yes
219,exp_acyclic_depvary_step2_batch_yyy02.pl,w1,no,0.25,no,corr,0.0,None,None,None,yes
220,exp_acyclic_depvary_step2_batch_yyy02.pl,p3,no,0.28,no,corr,0.0,None,None,None,yes
221,exp_acyclic_depvary_step2_batch_yyy03.pl,d5,no,0.17,no,corr,0.0,None,None,None,yes
222,exp_acyclic_depvary_step2_batch_yyy03.pl,p5,no,0.21,no,corr,0.0,None,None,None,yes
223,exp_acyclic_depvary_step2_batch_yyy03.pl,v5,no,0.21,no,corr,0.0,None,None,None,yes
224,exp_acyclic_depvary_step2_batch_yyy03.pl,f5,no,0.22,no,corr,0.0,None,None,None,yes
